Title,URL
Factorio 1.0,https://factorio.com/blog/post/fff-360
Servo Parallel Browser Engine Project,https://github.com/servo/servo
Redefining What Sustainable Fishing Means,http://oceans.nautil.us/article/600/its-time-to-redefine-what-sustainable-fishing-means
Stanford cancels plans to bring half of undergrads back to campus,https://stanforddaily.com/2020/08/13/stanford-cancels-plans-to-bring-half-of-undergrads-back-to-campus/
Hubble finds that Betelgeuse's mysterious dimming is due to a traumatic outburst,https://phys.org/news/2020-08-hubble-betelgeuse-mysterious-dimming-due.html
"Google resumes its attack on the URL bar, hides full addresses on Chrome 86",https://www.androidpolice.com/2020/08/13/google-resumes-its-senseless-attack-on-the-url-bar-hides-full-addresses-on-chrome-canary/
Unicode in Five Minutes,https://richardjharris.github.io/unicode-in-five-minutes.html
"Sigil â€“ A free, open-source, multi-platform eBook editor",https://github.com/Sigil-Ebook/Sigil
Netgpu and the hazards of proprietary kernel modules,https://lwn.net/Articles/827596/
Expiring vs. Permanent Skills,https://www.collaborativefund.com/blog/expiring-vs-permanent-skills
A Database of 5k Historical Cookbooks,https://www.atlasobscura.com/articles/how-to-find-historic-cookbooks
Show HN: Photo Realistic QR-Codes,https://www.QRpicture.com
I Tried to Live Without the Tech Giants. It Was Impossible,https://www.nytimes.com/2020/07/31/technology/blocking-the-tech-giants.html
Darktable 3.2.1,https://www.darktable.org/news/
Instagram kept deleted photos and messages on its servers for more than a year,https://www.theverge.com/2020/8/14/21368602/instagram-kept-deleted-photos-messages-on-servers-year-bug-fixed
"A Massive Fractal in Days, Not Years [pdf]",http://www.jcgt.org/published/0009/02/02/paper.pdf
Ask HN: Has anyone migrated off containerized infrastructure?,item?id=24141628
Simple Bacteria Offer Clues to the Origins of Photosynthesis,https://www.quantamagazine.org/simple-bacteria-offer-clues-to-the-origins-of-photosynthesis-20171017/
Why a bike shop should choose its customer wisely,https://cyclingindustry.news/why-a-bike-shop-should-choose-its-customer-wisely/
Implementing a Type-safe printf in Rust,https://willcrichton.net/notes/type-safe-printf/
"A Nixon deepfake, a 'moon disaster' speech and an information ecosystem at risk",https://www.scientificamerican.com/article/a-nixon-deepfake-a-moon-disaster-speech-and-an-information-ecosystem-at-risk1/
Ansible 2.10,https://www.mail-archive.com/ansible-project@googlegroups.com/msg53862.html
Software bug causes YAM cryptocurrency to implode two days after launch,https://www.theregister.com/2020/08/13/yam_cryptocurrency_bug_governance/
Producing Open Source Software (2017),https://producingoss.com/
